num_communities,modularity,losses,epoch_stop,elapsed_time
2,0.44856311449823294,134354.18283879146,226,40.6684958934784
3,0.5206151192686532,123135.07012601724,599,105.09295320510864
4,0.4557699747190398,122792.72864600044,599,106.6115221977234
5,0.7621399199113463,113510.575815199,599,100.88310718536376
6,0.7028485836444827,113179.39392068132,599,102.15877103805542
7,0.742782854673071,110039.9993590062,599,102.0676920413971
8,0.6701231344341401,106952.03645031268,599,102.16453194618224
9,0.7457236992273585,103598.07173468111,599,104.39982795715332
10,0.7240712481872823,103366.59325140786,599,105.74865317344666
11,0.7489642379306298,101525.84251870948,599,109.48977899551392
12,0.6647486878299377,100494.03779627604,599,107.43701481819151
13,0.6793516991264191,100085.39236329698,599,109.55310201644896
14,0.6770708417174648,96333.2062732844,599,107.69713306427002
15,0.6488152265851304,99218.80493693844,599,98.13879013061523
16,0.6785339412263144,94950.89724546691,599,104.24494099617004
17,0.6517766860504316,93919.19885840142,599,112.85429215431212
18,0.6233736744754622,93355.45406668354,599,116.2464201450348
19,0.6268670101138785,91750.92195323188,599,110.12546706199646
20,0.6081138717612853,91750.49836248971,599,112.80843591690063
21,0.6255850380623311,90842.54644421957,599,117.14980006217957
22,0.61113566829659,88301.23672022334,599,119.48801779747008
23,0.5998886578651635,89585.0235606915,599,115.81121277809144
24,0.5783996967371655,89165.47141130883,599,112.65556192398073
25,0.6012393215159776,87067.05743627771,599,117.18566823005676
26,0.596578071214236,88572.26443248354,599,111.16747498512268
27,0.5770326260110235,85640.18029009152,599,148.46630382537842
28,0.5832751800961652,85636.33837606278,599,166.18969321250916
29,0.5527127764298339,83963.99445367274,599,157.34209823608398
30,0.548417680601973,84525.6485679799,599,159.8486168384552
31,0.5774850981330231,84371.7163337957,599,180.46184301376343
32,0.5603935955253265,84845.20003173937,599,173.30730295181274
33,0.5571931605378949,83570.16592835658,599,175.78602409362793
34,0.5679122438717816,85503.34350963905,599,170.3363208770752
35,0.5509368472730051,83046.40980210138,599,173.5740602016449
36,0.5408234903205552,84571.52071273187,599,167.68511724472046
37,0.5356053034063891,82979.88829738731,599,168.63017916679382
38,0.5452459508357216,83851.67316071216,599,172.4114420413971
39,0.5240631707479653,81886.43779612487,599,197.384122133255
40,0.5283560467338274,80614.04531746845,599,359.98134899139404
41,0.5164721762580256,80070.86255607038,599,260.4998610019684
42,0.5114284446872673,78670.49439800608,599,206.36833906173703
43,0.5166980459525985,80902.16421999705,599,177.28401494026184
44,0.5140932050304674,79894.58101017553,599,197.61221885681152
45,0.5065324733247328,79253.96342715625,599,185.3993022441864
46,0.4913392426857447,77500.2270894933,599,185.2448008060456
47,0.5122306028092635,79796.70184139817,599,230.4287919998169
48,0.5015038034628279,78324.4744385675,599,175.65787816047668
49,0.5012894129281387,78433.16089202816,599,181.13825798034668
50,0.4945095666505565,78505.49906992895,599,185.3068900108337
51,0.4888593302379546,78203.55534655941,599,194.70222926139832
52,0.4812785903467854,77868.93217932867,599,202.51533007621765
53,0.48215006220688,76462.33718184556,599,171.67225122451782
54,0.4948090613832334,77309.48040160169,599,143.43667316436768
55,0.49738677147396454,77481.7379680252,599,147.73869800567627
56,0.4869699508031922,76330.99133528033,599,136.60167407989502
57,0.4778556851752004,77714.91163248457,599,140.37790894508362
58,0.47582867271034995,75905.06071888567,599,147.25326800346377
59,0.4699456415747086,74691.35220440874,599,139.75298690795898
60,0.4621471684125158,75152.62432306776,599,148.85389375686646
61,0.4547003458657611,75339.18385951324,599,144.6281132698059
62,0.45324287701276206,74514.04849962745,599,173.92560291290283
63,0.4492341729154295,75194.70095154081,599,194.436717748642
64,0.48427472748926115,75416.42518272308,599,178.03053498268127
65,0.4567684205265928,74976.74451450269,599,161.28617334365845
66,0.47423611846911906,76878.92383354301,599,157.4165003299713
67,0.4593975259581899,73886.15319160062,599,161.25101280212402
68,0.44996190666610825,74129.73541558323,599,164.6092221736908
69,0.4431457478220002,73039.58154430288,599,149.43423080444336
70,0.47618498882171434,73927.70376607835,599,156.67458200454712
71,0.439711027919662,73610.7596095852,599,157.582515001297
72,0.4479889529159139,74143.18489990935,599,187.19697213172915
73,0.44204612541239213,74000.89051846012,599,210.19356417655945
74,0.43801679484424727,72274.95843493166,599,220.8745231628418
75,0.4479379757381391,74241.64027830685,599,230.28382396698
76,0.449256291376412,73185.68562941278,599,285.96278405189514
77,0.4262352846844863,72698.66046886635,599,295.7859439849853
