epoch,loss
0,316768839.8738945
1,19862660.89072788
2,1378575.9447216354
3,241215.03025746497
4,173614.88353707967
5,166632.84898917834
6,159823.8064361326
7,155570.4224718116
8,152257.8372453531
9,148366.91420976436
10,141594.26972375033
11,132753.9894523897
12,126864.72707845531
13,119223.89472102124
14,112770.67759871234
15,109447.59150770384
16,106524.59085993312
17,102779.31282299121
18,99062.27665496468
19,96632.73779990671
20,94153.78611538913
21,92212.61380291979
22,90488.10902420849
23,89073.16023303044
24,87941.11164977528
25,86992.18084385806
26,86162.87343285242
27,85412.9942522744
28,84722.81538396962
29,84087.8200885323
30,83486.0671165284
31,82858.52638996483
32,82323.23154950679
33,81859.06224848327
34,81476.18171330618
35,81151.66761323695
36,80867.25338016172
37,80613.55201084359
38,80385.02880968335
39,80177.45454163966
40,79987.03568926304
41,79810.45555078558
42,79645.53498681507
43,79490.36207566893
44,79343.12685434768
45,79202.1506573941
46,79065.84578174115
47,78932.48882146429
48,78800.14420616679
49,78668.27420218302
50,78539.50046560906
51,78415.49158735214
52,78295.7996462308
53,78180.11479996647
54,78068.11804645923
55,77959.53582602128
56,77854.31552930511
57,77752.64801580796
58,77654.784630108
59,77561.03625838345
60,77471.7671564639
61,77387.39993354872
62,77308.10874776343
63,77233.82168661118
64,77164.57413688509
65,77100.28682123977
66,77040.67066879391
67,76985.67340920343
68,76934.77670804628
69,76887.3710119432
70,76842.91207481726
71,76800.9408606949
72,76761.15276611583
73,76723.31129123466
74,76687.16685492103
75,76652.47045868149
76,76619.04389855995
77,76586.7581202785
78,76555.49508314354
79,76525.15455864591
80,76495.63833229638
81,76466.86933376327
82,76438.82331195645
83,76411.4544810018
84,76384.64663947937
85,76358.30806514263
86,76332.39445010052
87,76306.84235628466
88,76281.6086142734
89,76256.72507082955
90,76232.24791473626
91,76208.35711770263
92,76185.1175203527
93,76162.46754149192
94,76140.3321927769
95,76118.65126740748
96,76097.41461045227
97,76076.6714152655
98,76056.45955660814
99,76036.78435231211
100,76017.62873582078
101,75998.95784573875
102,75980.72342543783
103,75962.87355796278
104,75945.3656747492
105,75928.15630427445
106,75911.19420000266
107,75894.452329377
108,75877.9377591229
109,75861.63867725589
110,75845.51217637613
111,75829.52101130242
112,75813.6429575239
113,75797.86407073408
114,75782.1600039137
115,75766.4749420108
116,75750.74714303315
117,75734.96034785865
118,75719.14662039615
119,75703.32379226701
120,75687.48758714755
121,75671.64780314558
122,75655.81689344546
123,75640.00565738126
124,75624.24087335833
125,75608.5805727362
126,75593.0946591653
127,75577.83168206626
128,75562.82163278968
129,75548.08932679034
130,75533.6580354979
131,75519.54832298805
132,75505.77699414286
133,75492.35727125789
134,75479.2962974013
135,75466.59027954403
136,75454.22352665181
137,75442.17158640841
138,75430.40105625718
